Client ID,Date,Required IM,Required VM,Left_Right_Client ID,Right_Date,Posted Amount,Total Required Margin,Shortfall,Right_Client ID,Legal Name,Relationship Manager
C002,2025-05-17,20000000,5000000,C002,2025-05-17,27529223,2.5e+07,-2529223,C002,Beta Investments,Sarah M
C006,2025-05-17,22198393,3966187,C006,2025-05-17,27170668,2.616458e+07,-1006088,C006,Omega Group,Karan B
C008,2025-05-17,27733309,4163022,C008,2025-05-17,32429750,3.189633e+07,-533418,C008,Orion Wealth,Amit R
C015,2025-05-17,6231349,1060731,C015,2025-05-17,8176815,7292080,-884735,C015,Zeta Securities,Emily B
C016,2025-05-17,28308506,9687297,C016,2025-05-17,39156225,3.79958e+07,-1160421,C016,Beta Group,Elena G
C019,2025-05-17,20525356,9523307,C019,2025-05-17,30559727,3.004866e+07,-511063,C019,Zeta Investments,Nina G
C021,2025-05-17,18568362,7121344,C021,2025-05-17,27598251,2.568971e+07,-1908545,C021,Vertex Ventures,Anil K
C025,2025-05-17,5433948,7839384,C025,2025-05-17,13957038,1.327333e+07,-683706,C025,Zeta Holdings,Sarah T
C029,2025-05-17,25477942,1472917,C029,2025-05-17,27780968,2.695086e+07,-830108,C029,Nova Ventures,Emily B
C030,2025-05-17,7936251,1607990,C030,2025-05-17,10818628,9544241,-1274387,C030,Quantum Global,Emily S
C032,2025-05-17,7480952,7118699,C032,2025-05-17,14835301,1.459965e+07,-235650,C032,Nova Investments,Amit T
C039,2025-05-17,25755507,4363329,C039,2025-05-17,30836211,3.011884e+07,-717375,C039,Nova Global,Amit V
C040,2025-05-17,28982296,1975709,C040,2025-05-17,32185138,3.0958e+07,-1227134,C040,Alpha Ventures,Sophie S
C044,2025-05-17,9214100,6678927,C044,2025-05-17,17253633,1.589303e+07,-1360606,C044,Apex Group,Raj V
C048,2025-05-17,16271738,3276904,C048,2025-05-17,20921274,1.954864e+07,-1372632,C048,Apex Ventures,John T
C050,2025-05-17,7659715,5760052,C050,2025-05-17,13930425,1.341977e+07,-510658,C050,Omega Capital,Ravi G
